true_label,cell_type
2,Endothelial Cells
4,Hepatocytes - Midcentral
0,B Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
1,Cholangiocytes
6,Hepatocytes - Portal
9,Stellate Cells
10,T Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
0,B Cells
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
10,T Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
3,Hepatocytes - Central
9,Stellate Cells
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
0,B Cells
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
2,Endothelial Cells
3,Hepatocytes - Central
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
10,T Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
3,Hepatocytes - Central
0,B Cells
3,Hepatocytes - Central
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
3,Hepatocytes - Central
2,Endothelial Cells
4,Hepatocytes - Midcentral
1,Cholangiocytes
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
9,Stellate Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
3,Hepatocytes - Central
9,Stellate Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
2,Endothelial Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
2,Endothelial Cells
2,Endothelial Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
10,T Cells
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
2,Endothelial Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
3,Hepatocytes - Central
3,Hepatocytes - Central
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
9,Stellate Cells
2,Endothelial Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
2,Endothelial Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
10,T Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
2,Endothelial Cells
1,Cholangiocytes
6,Hepatocytes - Portal
9,Stellate Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
3,Hepatocytes - Central
2,Endothelial Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
9,Stellate Cells
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
1,Cholangiocytes
4,Hepatocytes - Midcentral
0,B Cells
1,Cholangiocytes
6,Hepatocytes - Portal
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
9,Stellate Cells
3,Hepatocytes - Central
0,B Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
0,B Cells
4,Hepatocytes - Midcentral
0,B Cells
9,Stellate Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
0,B Cells
5,Hepatocytes - Midportal
3,Hepatocytes - Central
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
2,Endothelial Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
10,T Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
2,Endothelial Cells
5,Hepatocytes - Midportal
9,Stellate Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
9,Stellate Cells
5,Hepatocytes - Midportal
2,Endothelial Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
2,Endothelial Cells
9,Stellate Cells
9,Stellate Cells
9,Stellate Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
9,Stellate Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
9,Stellate Cells
2,Endothelial Cells
3,Hepatocytes - Central
10,T Cells
5,Hepatocytes - Midportal
9,Stellate Cells
9,Stellate Cells
6,Hepatocytes - Portal
9,Stellate Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
3,Hepatocytes - Central
5,Hepatocytes - Midportal
3,Hepatocytes - Central
0,B Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
9,Stellate Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
9,Stellate Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
9,Stellate Cells
3,Hepatocytes - Central
1,Cholangiocytes
4,Hepatocytes - Midcentral
9,Stellate Cells
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
3,Hepatocytes - Central
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
10,T Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
2,Endothelial Cells
3,Hepatocytes - Central
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
9,Stellate Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
3,Hepatocytes - Central
7,Macrophages
6,Hepatocytes - Portal
3,Hepatocytes - Central
5,Hepatocytes - Midportal
9,Stellate Cells
2,Endothelial Cells
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
10,T Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
2,Endothelial Cells
10,T Cells
9,Stellate Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
5,Hepatocytes - Midportal
9,Stellate Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
5,Hepatocytes - Midportal
3,Hepatocytes - Central
6,Hepatocytes - Portal
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
2,Endothelial Cells
10,T Cells
9,Stellate Cells
9,Stellate Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
5,Hepatocytes - Midportal
9,Stellate Cells
3,Hepatocytes - Central
6,Hepatocytes - Portal
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
2,Endothelial Cells
3,Hepatocytes - Central
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
2,Endothelial Cells
7,Macrophages
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
3,Hepatocytes - Central
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
9,Stellate Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
0,B Cells
9,Stellate Cells
4,Hepatocytes - Midcentral
9,Stellate Cells
9,Stellate Cells
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
9,Stellate Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
9,Stellate Cells
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
10,T Cells
9,Stellate Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
9,Stellate Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
3,Hepatocytes - Central
6,Hepatocytes - Portal
2,Endothelial Cells
10,T Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
3,Hepatocytes - Central
1,Cholangiocytes
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
0,B Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
2,Endothelial Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
9,Stellate Cells
1,Cholangiocytes
1,Cholangiocytes
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
9,Stellate Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
2,Endothelial Cells
0,B Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
7,Macrophages
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
2,Endothelial Cells
5,Hepatocytes - Midportal
2,Endothelial Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
9,Stellate Cells
9,Stellate Cells
6,Hepatocytes - Portal
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
10,T Cells
5,Hepatocytes - Midportal
9,Stellate Cells
2,Endothelial Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
0,B Cells
2,Endothelial Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
10,T Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
9,Stellate Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
0,B Cells
2,Endothelial Cells
0,B Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
9,Stellate Cells
1,Cholangiocytes
5,Hepatocytes - Midportal
3,Hepatocytes - Central
3,Hepatocytes - Central
2,Endothelial Cells
2,Endothelial Cells
2,Endothelial Cells
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
3,Hepatocytes - Central
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
2,Endothelial Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
9,Stellate Cells
6,Hepatocytes - Portal
9,Stellate Cells
9,Stellate Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
9,Stellate Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
10,T Cells
2,Endothelial Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
9,Stellate Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
0,B Cells
2,Endothelial Cells
3,Hepatocytes - Central
1,Cholangiocytes
1,Cholangiocytes
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
9,Stellate Cells
2,Endothelial Cells
5,Hepatocytes - Midportal
0,B Cells
10,T Cells
3,Hepatocytes - Central
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
9,Stellate Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
2,Endothelial Cells
2,Endothelial Cells
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
0,B Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
2,Endothelial Cells
1,Cholangiocytes
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
3,Hepatocytes - Central
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
9,Stellate Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
0,B Cells
6,Hepatocytes - Portal
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
9,Stellate Cells
9,Stellate Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
3,Hepatocytes - Central
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
9,Stellate Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
9,Stellate Cells
3,Hepatocytes - Central
1,Cholangiocytes
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
1,Cholangiocytes
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
2,Endothelial Cells
9,Stellate Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
0,B Cells
4,Hepatocytes - Midcentral
9,Stellate Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
1,Cholangiocytes
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
10,T Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
2,Endothelial Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
3,Hepatocytes - Central
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
7,Macrophages
2,Endothelial Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
5,Hepatocytes - Midportal
10,T Cells
2,Endothelial Cells
5,Hepatocytes - Midportal
9,Stellate Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
2,Endothelial Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
3,Hepatocytes - Central
3,Hepatocytes - Central
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
0,B Cells
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
6,Hepatocytes - Portal
9,Stellate Cells
2,Endothelial Cells
2,Endothelial Cells
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
7,Macrophages
9,Stellate Cells
1,Cholangiocytes
9,Stellate Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
2,Endothelial Cells
2,Endothelial Cells
9,Stellate Cells
9,Stellate Cells
9,Stellate Cells
4,Hepatocytes - Midcentral
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
3,Hepatocytes - Central
6,Hepatocytes - Portal
9,Stellate Cells
0,B Cells
4,Hepatocytes - Midcentral
9,Stellate Cells
6,Hepatocytes - Portal
9,Stellate Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
9,Stellate Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
1,Cholangiocytes
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
0,B Cells
3,Hepatocytes - Central
5,Hepatocytes - Midportal
3,Hepatocytes - Central
9,Stellate Cells
5,Hepatocytes - Midportal
9,Stellate Cells
6,Hepatocytes - Portal
3,Hepatocytes - Central
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
9,Stellate Cells
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
6,Hepatocytes - Portal
2,Endothelial Cells
3,Hepatocytes - Central
4,Hepatocytes - Midcentral
4,Hepatocytes - Midcentral
9,Stellate Cells
5,Hepatocytes - Midportal
10,T Cells
2,Endothelial Cells
10,T Cells
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
6,Hepatocytes - Portal
9,Stellate Cells
4,Hepatocytes - Midcentral
3,Hepatocytes - Central
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
1,Cholangiocytes
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
5,Hepatocytes - Midportal
5,Hepatocytes - Midportal
3,Hepatocytes - Central
2,Endothelial Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
1,Cholangiocytes
6,Hepatocytes - Portal
9,Stellate Cells
9,Stellate Cells
2,Endothelial Cells
2,Endothelial Cells
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
2,Endothelial Cells
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
6,Hepatocytes - Portal
6,Hepatocytes - Portal
2,Endothelial Cells
6,Hepatocytes - Portal
2,Endothelial Cells
4,Hepatocytes - Midcentral
5,Hepatocytes - Midportal
3,Hepatocytes - Central
5,Hepatocytes - Midportal
6,Hepatocytes - Portal
4,Hepatocytes - Midcentral
